zip,state_name,density
44857,Ohio,110.7
44859,Ohio,22.1
44864,Ohio,20.9
44865,Ohio,37.400002
44866,Ohio,33.599998
44867,Ohio,14.9
44875,Ohio,67.5
44878,Ohio,20.1
44880,Ohio,35.900002
44882,Ohio,15.3
44883,Ohio,68
44887,Ohio,13.1
44889,Ohio,32.799999
44890,Ohio,49.200001
44903,Ohio,86.5
44904,Ohio,104.7
45003,Ohio,25.5
45013,Ohio,175.89999
45030,Ohio,162.3
45036,Ohio,178.10001
45052,Ohio,117.7
45053,Ohio,48.700001
45054,Ohio,30.9
45056,Ohio,137.39999
45064,Ohio,34.900002
45068,Ohio,61.200001
45070,Ohio,184.10001
45101,Ohio,51.099998
45103,Ohio,140.8
45106,Ohio,63.599998
45107,Ohio,47.200001
45112,Ohio,99.099998
45113,Ohio,39.5
45115,Ohio,28.9
45118,Ohio,35.5
45120,Ohio,34.5
45121,Ohio,33.599998
45122,Ohio,96.5
45123,Ohio,34
45130,Ohio,40.200001
45133,Ohio,28.9
45135,Ohio,26.1
45142,Ohio,27
45144,Ohio,23.5
45146,Ohio,22.5
45147,Ohio,74.800003
45148,Ohio,26.5
45152,Ohio,84.800003
45153,Ohio,23.1
45154,Ohio,53.400002
45156,Ohio,59.700001
45157,Ohio,90.300003
45159,Ohio,25.700001
45162,Ohio,41.200001
45166,Ohio,51.200001
45167,Ohio,23.700001
45168,Ohio,18.9
45169,Ohio,19
45171,Ohio,31
45172,Ohio,114.6
45176,Ohio,66.699997
45177,Ohio,49.799999
45252,Ohio,155.89999
45302,Ohio,32.700001
45303,Ohio,27
45304,Ohio,33.200001
45306,Ohio,26.4
45308,Ohio,35.299999
45309,Ohio,70.300003
45311,Ohio,26.9
45312,Ohio,20.1
45314,Ohio,45.099998
45315,Ohio,157.39999
45317,Ohio,18.5
45318,Ohio,46.299999
45320,Ohio,45.299999
45321,Ohio,27.4
45325,Ohio,40
45326,Ohio,19.700001
45327,Ohio,71.699997
45331,Ohio,59.200001
45332,Ohio,18.6
45333,Ohio,23.4
45334,Ohio,30.6
45335,Ohio,31.6
45336,Ohio,77
45337,Ohio,31.9
45338,Ohio,40.200001
45339,Ohio,33.299999
45340,Ohio,13.9
45344,Ohio,99.099998
45345,Ohio,108.5
45346,Ohio,21.1
45347,Ohio,30.299999
45348,Ohio,12.7
45353,Ohio,26.9
45356,Ohio,127.5
45359,Ohio,50.5
45362,Ohio,12.9
45363,Ohio,29.299999
45365,Ohio,73.599998
45368,Ohio,23.1
45369,Ohio,31
45370,Ohio,44.099998
45371,Ohio,143.7
45373,Ohio,158.5
45380,Ohio,30.9
45381,Ohio,41.5
45382,Ohio,23.700001
45383,Ohio,104.2
45385,Ohio,105.2
45387,Ohio,72.400002
45388,Ohio,17.9
45390,Ohio,25.299999
45428,Ohio,157.2
