zip,state_name,density
50558,Iowa,5.4000001
50559,Iowa,3.4000001
50560,Iowa,2.5999999
50561,Iowa,4.4000001
50562,Iowa,3.2
50563,Iowa,9.8999996
50565,Iowa,4.0999999
50566,Iowa,4.8000002
50567,Iowa,3.4000001
50568,Iowa,6.4000001
50569,Iowa,15.4
50570,Iowa,2.2
50571,Iowa,3.4000001
50574,Iowa,7.5999999
50575,Iowa,5.9000001
50576,Iowa,4.5
50577,Iowa,3.8
50578,Iowa,3.4000001
50579,Iowa,6.8000002
50581,Iowa,4
50582,Iowa,4.4000001
50583,Iowa,9.3999996
50585,Iowa,7.0999999
50586,Iowa,3.4000001
50590,Iowa,4.3000002
50591,Iowa,4.3000002
50594,Iowa,4.4000001
50595,Iowa,23
50597,Iowa,6.0999999
50598,Iowa,5.1999998
50599,Iowa,2.9000001
50601,Iowa,6.6999998
50602,Iowa,7.6999998
50603,Iowa,5.0999999
50604,Iowa,10
50605,Iowa,4.3000002
50606,Iowa,4.8000002
50607,Iowa,3.9000001
50609,Iowa,5
50611,Iowa,5
50612,Iowa,5.8000002
50616,Iowa,23.1
50619,Iowa,10.5
50621,Iowa,9.3000002
50624,Iowa,12.9
50625,Iowa,6.4000001
50626,Iowa,13.8
50627,Iowa,12.5
50628,Iowa,4.8000002
50629,Iowa,11.8
50630,Iowa,8.1000004
50632,Iowa,10.1
50633,Iowa,3.5999999
50635,Iowa,7.4000001
50636,Iowa,6.3000002
50638,Iowa,13.5
50641,Iowa,16.4
50642,Iowa,7
50643,Iowa,16.9
50644,Iowa,23.4
50645,Iowa,5.5999999
50647,Iowa,24.4
50648,Iowa,18.200001
50650,Iowa,6.9000001
50651,Iowa,12.3
50653,Iowa,4.8000002
50654,Iowa,3.7
50655,Iowa,9.6000004
50658,Iowa,13.7
50659,Iowa,13.6
50660,Iowa,13.3
50665,Iowa,11.2
50666,Iowa,7.4000001
50668,Iowa,14.3
50669,Iowa,10.2
50670,Iowa,13.7
50671,Iowa,4.6999998
50672,Iowa,6.3000002
50674,Iowa,8.8000002
50675,Iowa,8.6000004
50676,Iowa,14.2
50680,Iowa,7.9000001
50681,Iowa,7.1999998
50682,Iowa,7.0999999
50801,Iowa,17.700001
50830,Iowa,5.6999998
50833,Iowa,4.3000002
50835,Iowa,2.0999999
50836,Iowa,2
50837,Iowa,2.9000001
50839,Iowa,18.6
50840,Iowa,4.3000002
50841,Iowa,4.6999998
50843,Iowa,3
50845,Iowa,2.9000001
50846,Iowa,4.6999998
50848,Iowa,3.2
50849,Iowa,9
50851,Iowa,6.3000002
50853,Iowa,3.5999999
50854,Iowa,6.5999999
50857,Iowa,2.0999999
50858,Iowa,3.8
50859,Iowa,2.8
50860,Iowa,4.0999999
50861,Iowa,2.4000001
50862,Iowa,2.5999999
50863,Iowa,3.8
50864,Iowa,5.5
51001,Iowa,6.6999998
51002,Iowa,9.1999998
51003,Iowa,11.8
51004,Iowa,4.9000001
51005,Iowa,6.0999999
51006,Iowa,5.0999999
51007,Iowa,8.3999996
51010,Iowa,2.5999999
51012,Iowa,17.200001
51014,Iowa,3.8
51016,Iowa,5.3000002
51018,Iowa,4.3000002
51019,Iowa,3.3
51020,Iowa,4.6999998
51022,Iowa,3.9000001
51023,Iowa,11.9
51024,Iowa,8.8999996
51025,Iowa,7.0999999
51026,Iowa,3.0999999
51027,Iowa,5.3000002
51028,Iowa,6.3000002
51029,Iowa,4.3000002
51030,Iowa,11.3
51031,Iowa,20.4
51033,Iowa,2.5999999
51034,Iowa,6.3000002
51035,Iowa,6
51036,Iowa,6.4000001
51037,Iowa,5.1999998
51038,Iowa,6.5999999
51039,Iowa,11.1
51040,Iowa,9.3999996
51044,Iowa,2.8
51046,Iowa,6.9000001
51047,Iowa,3.2
51048,Iowa,6.4000001
51049,Iowa,4.5
51050,Iowa,7.4000001
51051,Iowa,10.3
51052,Iowa,6.5999999
51053,Iowa,6
51055,Iowa,7.5999999
51056,Iowa,5.4000001
51058,Iowa,4.6999998
51060,Iowa,3.9000001
51061,Iowa,4.1999998
51062,Iowa,3.5999999
51063,Iowa,6.9000001
51111,Iowa,5.4000001
51201,Iowa,20.9
51230,Iowa,7.0999999
51231,Iowa,3.9000001
51232,Iowa,5.5999999
51234,Iowa,9.8000002
51235,Iowa,7.4000001
51237,Iowa,6.8000002
51238,Iowa,10
51239,Iowa,18.200001
51240,Iowa,6.5999999
51241,Iowa,7.5
51243,Iowa,5.8000002
51245,Iowa,6.6999998
51246,Iowa,9.1000004
51247,Iowa,16.799999
51248,Iowa,8.6999998
51249,Iowa,11.1
51333,Iowa,3.0999999
51334,Iowa,15.8
